                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68499,                  2.401,                 1.1473,                0.56908,                0.34534,                0.52115,                0.44171,                 0.5934,                 3.0724,                 1.1362,                0.09802,                  2e-05,                  2e-05
                      2,                0.70435,                 2.4675,                 1.1324,                0.56715,                0.38646,                 0.5408,                0.45895,                0.58226,                 3.0834,                 1.1153,               0.095048,              4.835e-05,              4.835e-05
                      3,                0.73401,                 2.4898,                 1.1232,                 0.5781,                0.43587,                0.56444,                0.48954,                0.59699,                 3.0477,                 1.1181,               0.092075,              7.472e-05,              7.472e-05
                      4,                0.71774,                 2.4461,                 1.1779,                0.64181,                0.54167,                0.56642,                0.50152,                0.61419,                 3.0291,                  1.127,               0.089099,              9.911e-05,              9.911e-05
                      5,                0.75704,                 2.4122,                 1.1741,                0.64291,                  0.625,                0.57576,                0.50091,                0.62347,                 2.9897,                 1.1374,               0.086122,             0.00012152,             0.00012152
                      6,                0.74016,                 2.5163,                 1.0837,                0.58182,                  0.625,                0.54681,                0.45635,                0.62525,                 2.9415,                 1.1381,               0.083142,             0.00014195,             0.00014195
                      7,                 0.6695,                  2.431,                 1.1467,                0.54878,                  0.625,                0.57623,                0.48648,                0.62331,                 2.9018,                 1.1386,                0.08016,              0.0001604,              0.0001604
                      8,                0.74072,                 2.3434,                 1.2171,                0.53957,                  0.625,                0.57067,                0.47603,                0.62804,                  2.872,                  1.145,               0.077177,             0.00017687,             0.00017687
                      9,                0.78799,                 2.4446,                 1.1708,                 0.5368,                0.63725,                 0.5277,                0.45445,                0.63266,                  2.854,                 1.1476,               0.074191,             0.00019136,             0.00019136
                     10,                0.79587,                 2.4056,                 1.1845,                0.53627,                0.66667,                0.52004,                0.44446,                0.63585,                 2.8466,                 1.1423,               0.071204,             0.00020387,             0.00020387
                     11,                0.81718,                 2.4283,                 1.2029,                0.54002,                0.64588,                 0.5216,                0.43826,                0.63382,                 2.8267,                 1.1555,               0.068214,              0.0002144,              0.0002144
                     12,                0.76333,                 2.3377,                 1.1696,                0.54381,                0.66667,                0.52956,                0.43611,                0.66053,                 2.8041,                 1.1744,               0.065223,             0.00022295,             0.00022295
                     13,                0.72355,                 2.3192,                 1.1039,                0.55441,                0.66667,                0.52415,                0.43752,                0.65878,                 2.7825,                 1.1813,                0.06223,             0.00022952,             0.00022952
                     14,                 0.7613,                 2.2663,                 1.2168,                0.56204,                0.70564,                0.54028,                0.44484,                0.66239,                 2.7719,                 1.1969,               0.059234,             0.00023411,             0.00023411
                     15,                0.77589,                 2.3604,                  1.126,                0.52006,                   0.75,                0.53451,                0.44443,                0.66613,                  2.746,                 1.1942,               0.056237,             0.00023672,             0.00023672
                     16,                0.76734,                 2.1793,                 1.1394,                0.51943,                   0.75,                0.53542,                 0.4504,                0.65009,                 2.7506,                 1.1812,               0.053237,             0.00023735,             0.00023735
                     17,                0.87864,                 2.1715,                 1.2611,                0.49619,                0.70833,                0.53628,                0.44557,                0.64075,                 2.7388,                 1.1818,               0.050236,               0.000236,               0.000236
                     18,                0.72908,                 2.1853,                 1.1162,                 0.4702,                0.79167,                0.52109,                0.43482,                0.63381,                 2.7235,                   1.18,               0.047233,             0.00023267,             0.00023267
                     19,                0.77248,                 2.0857,                 1.1777,                0.47789,                0.77657,                0.52131,                0.43496,                0.63111,                 2.7106,                 1.1794,               0.044227,             0.00022736,             0.00022736
                     20,                0.76772,                 2.1896,                  1.147,                0.45869,                   0.75,                0.51082,                0.42689,                0.61294,                 2.7171,                 1.1702,                0.04122,             0.00022007,             0.00022007
                     21,                0.70378,                 2.4328,                 1.1895,                0.45847,                   0.75,                0.49632,                0.41557,                0.60947,                  2.702,                 1.1753,               0.038211,              0.0002108,              0.0002108
                     22,                0.72461,                  2.377,                 1.1618,                0.45201,                0.77213,                0.47395,                0.39459,                0.61611,                 2.6827,                 1.1753,                 0.0352,             0.00019955,             0.00019955
                     23,                0.65561,                 2.4031,                 1.0572,                0.45095,                0.77765,                 0.4732,                0.39076,                0.61453,                 2.6706,                 1.1739,               0.032186,             0.00018632,             0.00018632
                     24,                0.72457,                 2.3739,                 1.1618,                0.44538,                0.79167,                0.46082,                0.37641,                0.61966,                 2.6434,                 1.1792,               0.029171,             0.00017111,             0.00017111
                     25,                 0.7196,                  2.346,                 1.1644,                 0.4415,                0.79167,                0.46104,                0.37585,                0.62421,                 2.6265,                 1.1845,               0.026154,             0.00015392,             0.00015392
                     26,                0.65629,                 2.3046,                 1.0821,                0.44149,                0.79167,                0.43766,                0.35249,                0.62574,                 2.5993,                 1.1874,               0.023135,             0.00013475,             0.00013475
                     27,                0.73744,                 2.2764,                 1.1595,                0.43276,                0.79167,                0.43766,                0.35258,                0.62802,                 2.5856,                  1.192,               0.020114,              0.0001136,              0.0001136
                     28,                 0.6874,                 2.2603,                 1.1146,                0.42971,                0.79167,                0.41589,                0.33472,                0.63383,                 2.5619,                 1.1949,                0.01709,              9.047e-05,              9.047e-05
                     29,                0.68635,                  2.235,                 1.0799,                0.43143,                0.79167,                0.41589,                0.33709,                0.64388,                 2.5444,                 1.2057,               0.014065,              6.536e-05,              6.536e-05
                     30,                0.77144,                 2.3908,                 1.1474,                0.43056,                0.79167,                0.40008,                0.32631,                0.65375,                 2.5354,                 1.2062,               0.011038,              3.827e-05,              3.827e-05
