                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77331,                 2.7468,                 1.2028,                0.00363,                0.91667,                0.26065,                0.20797,                0.53976,                 3.2366,                 1.1266,                0.09802,                  2e-05,                  2e-05
                      2,                0.76172,                 2.8208,                 1.1634,                0.00363,                0.91667,                0.36991,                 0.2541,                0.53382,                 3.2083,                 1.1162,               0.095048,              4.835e-05,              4.835e-05
                      3,                0.83151,                 2.8571,                 1.1849,                0.00343,                  0.875,                0.39581,                0.28816,                0.52007,                 3.1942,                 1.1037,               0.092075,              7.472e-05,              7.472e-05
                      4,                0.77656,                 2.8218,                 1.2132,                0.00324,                0.83333,                0.42109,                 0.3123,                0.52664,                 3.1839,                 1.1031,               0.089099,              9.911e-05,              9.911e-05
                      5,                0.83416,                 2.7081,                 1.2356,                0.00324,                0.83333,                0.41538,                0.32292,                0.52613,                 3.1873,                 1.1024,               0.086122,             0.00012152,             0.00012152
                      6,                0.77317,                 2.8675,                 1.1028,                0.00343,                  0.875,                0.41115,                0.32519,                0.54422,                 3.1759,                 1.1061,               0.083142,             0.00014195,             0.00014195
                      7,                0.76023,                 2.7669,                 1.2052,                0.00324,                0.83333,                 0.4194,                0.34516,                 0.5509,                 3.1603,                 1.1122,                0.08016,              0.0001604,              0.0001604
                      8,                0.81191,                 2.6514,                 1.2636,                0.05567,                0.79167,                 0.4751,                0.38664,                0.56937,                 3.1308,                 1.1223,               0.077177,             0.00017687,             0.00017687
                      9,                0.83338,                 2.7709,                 1.1957,                0.58943,                 0.3459,                0.51487,                0.40561,                0.57078,                 3.1025,                 1.1308,               0.074191,             0.00019136,             0.00019136
                     10,                0.84201,                 2.6885,                 1.1983,                 0.7093,                 0.1207,                0.53667,                0.44584,                 0.5798,                 3.0971,                 1.1336,               0.071204,             0.00020387,             0.00020387
                     11,                0.87596,                 2.6976,                 1.2515,                 0.7346,                0.14788,                0.53173,                0.44951,                0.58691,                 3.0724,                 1.1364,               0.068214,              0.0002144,              0.0002144
                     12,                0.81609,                 2.5993,                 1.1987,                0.67012,                0.22793,                0.54811,                0.45713,                0.60754,                 3.0517,                 1.1449,               0.065223,             0.00022295,             0.00022295
                     13,                0.75469,                  2.585,                  1.133,                0.68852,                0.33298,                0.55778,                0.47598,                0.61991,                 3.0412,                 1.1592,                0.06223,             0.00022952,             0.00022952
                     14,                0.78044,                 2.4692,                 1.2306,                0.71949,                0.62048,                0.56247,                0.47381,                0.62272,                 3.0194,                 1.1735,               0.059234,             0.00023411,             0.00023411
                     15,                0.77822,                 2.5802,                 1.1291,                0.64026,                0.66667,                0.55683,                0.46341,                0.63944,                 2.9829,                 1.1802,               0.056237,             0.00023672,             0.00023672
                     16,                0.79862,                 2.4023,                 1.1643,                0.59506,                0.66863,                0.56006,                0.46703,                0.65255,                 2.9552,                 1.1849,               0.053237,             0.00023735,             0.00023735
                     17,                0.92737,                 2.3621,                    1.3,                0.62815,                0.66667,                0.54733,                0.45486,                0.65157,                 2.9262,                 1.1784,               0.050236,               0.000236,               0.000236
                     18,                0.75054,                 2.3965,                 1.1291,                0.62758,                0.64468,                0.54662,                0.46209,                0.65091,                 2.8826,                 1.1784,               0.047233,             0.00023267,             0.00023267
                     19,                0.82355,                 2.3188,                  1.195,                0.59491,                  0.625,                0.53992,                0.45417,                0.64466,                 2.8832,                 1.1763,               0.044227,             0.00022736,             0.00022736
                     20,                0.77035,                 2.4109,                 1.1533,                0.61649,                0.71283,                0.55382,                0.46517,                 0.6382,                  2.862,                   1.17,                0.04122,             0.00022007,             0.00022007
                     21,                0.77467,                 2.7194,                 1.2416,                0.62138,                0.72947,                0.55111,                0.46188,                0.64014,                 2.8457,                 1.1721,               0.038211,              0.0002108,              0.0002108
                     22,                 0.7474,                 2.6202,                 1.1783,                0.56574,                   0.75,                0.53693,                0.45311,                0.63818,                 2.8228,                 1.1683,                 0.0352,             0.00019955,             0.00019955
                     23,                0.67754,                 2.6839,                 1.0677,                0.53739,                   0.75,                0.53447,                0.45216,                0.63531,                 2.7967,                 1.1669,               0.032186,             0.00018632,             0.00018632
                     24,                0.75972,                 2.6463,                 1.1815,                0.54237,                   0.75,                0.53325,                0.44549,                0.63897,                   2.74,                 1.1697,               0.029171,             0.00017111,             0.00017111
                     25,                  0.734,                 2.6122,                 1.1761,                0.58008,                 0.7169,                0.54148,                 0.4458,                0.64251,                 2.7292,                 1.1741,               0.026154,             0.00015392,             0.00015392
                     26,                0.66678,                 2.5594,                 1.1114,                0.57843,                0.63255,                0.54132,                0.44243,                0.63403,                 2.7145,                 1.1682,               0.023135,             0.00013475,             0.00013475
                     27,                 0.8096,                 2.5384,                 1.2098,                0.58117,                0.62655,                0.53829,                0.44112,                0.63857,                 2.6882,                 1.1712,               0.020114,              0.0001136,              0.0001136
                     28,                0.70494,                 2.5249,                  1.125,                0.55539,                 0.6182,                0.53651,                0.43968,                0.64771,                 2.6558,                 1.1822,                0.01709,              9.047e-05,              9.047e-05
                     29,                0.72986,                 2.5323,                 1.0928,                0.61155,                0.58333,                0.51789,                0.43059,                0.65121,                 2.6406,                 1.1874,               0.014065,              6.536e-05,              6.536e-05
                     30,                0.78114,                 2.6472,                 1.1283,                0.62326,                0.58333,                 0.5122,                0.42697,                0.65388,                 2.6233,                 1.1818,               0.011038,              3.827e-05,              3.827e-05
