                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44547,                 1.1777,                0.91004,                0.48634,                0.85336,                0.68795,                0.53013,                0.84901,                   2.46,                 1.3546,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.45197,                 1.1194,                 0.9185,                  0.628,                0.76172,                0.72563,                0.56086,                0.77975,                 2.2902,                 1.3118,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                0.37095,                 1.1186,                0.93131,                0.54819,                0.83333,                0.71919,                0.54262,                0.76792,                 2.4143,                 1.2659,             0.00010695,             0.00010695,             0.00010695
                      4,                0.55746,                  1.271,                0.94044,                0.57962,                 0.7484,                  0.711,                0.57783,                0.72965,                 2.5135,                 1.2534,             0.00012891,             0.00012891,             0.00012891
                      5,                0.42287,                  1.264,                0.94037,                0.57362,                0.82901,                0.73296,                0.62642,                0.69689,                 2.3039,                 1.2369,             0.00014096,             0.00014096,             0.00014096
                      6,                0.51078,                 1.2203,                0.97647,                0.64938,                 0.8745,                0.76668,                0.64723,                0.75901,                 2.1187,                 1.3136,             0.00014311,             0.00014311,             0.00014311
                      7,                0.48282,                 1.1699,                 0.9334,                0.66029,                0.85126,                0.82284,                 0.6416,                0.77559,                 2.0985,                 1.3532,             0.00013536,             0.00013536,             0.00013536
                      8,                0.60684,                 1.2206,                 1.0022,                0.62561,                0.86085,                0.81227,                0.60554,                0.82296,                 2.1165,                 1.4062,             0.00011771,             0.00011771,             0.00011771
                      9,                0.53733,                 1.1941,                0.96978,                0.59597,                0.81453,                0.79829,                0.61087,                0.83323,                 2.1435,                 1.4133,             9.0151e-05,             9.0151e-05,             9.0151e-05
