                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0564,                 3.4789,                 1.3906,                0.00368,                  0.875,                0.51835,                 0.3842,                0.52205,                 3.4486,                 1.1132,             0.00028339,             0.00028339,             0.00028339
                      2,                0.95226,                 2.9267,                 1.3841,                0.00376,                0.95833,                 0.5407,                0.42635,                0.76858,                  3.292,                 1.3808,             0.00052569,             0.00052569,             0.00052569
                      3,                0.97599,                 2.8095,                  1.394,                0.79793,                0.29167,                0.45886,                 0.3455,                 1.0332,                 3.0853,                  1.629,             0.00070858,             0.00070858,             0.00070858
                      4,                0.95806,                 2.5328,                 1.3464,                 0.2716,                  0.375,                0.38452,                0.22543,                 1.1482,                 3.0117,                 1.8283,             0.00083205,             0.00083205,             0.00083205
