                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81623,                  2.214,                 1.1903,                0.88694,                0.54167,                0.73059,                0.60616,                0.66701,                 3.1317,                 1.3064,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.80692,                 1.8975,                 1.1917,                 0.8718,                0.58333,                0.72369,                0.57099,                0.75556,                 2.6203,                 1.4009,              0.0001426,              0.0001426,              0.0001426
                      3,                0.75547,                 1.5686,                 1.1206,                0.61151,                0.43949,                 0.5819,                0.47889,                0.95402,                  2.815,                 1.4725,             0.00021028,             0.00021028,             0.00021028
