                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69084,                 1.5912,                 1.1074,                0.59043,                0.70616,                0.73533,                 0.5971,                0.78837,                 2.3363,                 1.3222,             0.00013336,             0.00013336,             0.00013336
                      2,                0.80635,                 1.3826,                 1.1833,                0.76335,                 0.6363,                0.77158,                0.55405,                 1.0136,                 2.3969,                 1.5341,             0.00026936,             0.00026936,             0.00026936
                      3,                0.76115,                 1.2754,                 1.1252,                0.64046,                0.53129,                0.57803,                0.24443,                 1.3513,                 3.1497,                 1.7778,             0.00039051,             0.00039051,             0.00039051
                      4,                0.80601,                 1.3927,                 1.1815,                0.71208,                0.33333,                0.39468,                0.15312,                 1.7843,                 3.2879,                 2.0949,             0.00049681,             0.00049681,             0.00049681
