                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57085,                  1.446,                 1.0439,                0.70622,                   0.75,                0.71227,                0.60045,                0.75274,                 2.1643,                 1.3138,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.71097,                 1.4485,                 1.1625,                0.55268,                   0.75,                0.67295,                0.55243,                 0.7008,                 2.3311,                 1.2516,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      3,                 0.6458,                 1.1919,                 1.0469,                0.64714,                0.58333,                0.65354,                0.55419,                0.87563,                 2.6665,                 1.4269,             0.00011576,             0.00011576,             0.00011576
