                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38796,                 1.0461,                0.87354,                0.69873,                0.53088,                0.72401,                0.54499,                0.86196,                 2.3393,                 1.4147,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.37622,                0.98448,                0.87828,                0.65024,                  0.625,                0.67217,                0.55937,                0.72171,                 2.3045,                 1.2646,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                0.34948,                0.97604,                0.89736,                0.67274,                0.70833,                0.73071,                 0.6318,                0.70326,                 2.1684,                 1.2239,             0.00010695,             0.00010695,             0.00010695
                      4,                0.49619,                 1.1085,                0.92319,                0.71014,                0.74214,                0.75595,                0.64499,                0.70664,                 2.0991,                 1.2494,             0.00012891,             0.00012891,             0.00012891
                      5,                0.40222,                 1.1122,                0.92035,                0.65416,                   0.75,                0.69811,                 0.6149,                0.66277,                 2.2332,                 1.2236,             0.00014096,             0.00014096,             0.00014096
                      6,                0.44834,                 1.1713,                0.94912,                0.57437,                 0.7984,                0.66519,                0.58223,                 0.7177,                  2.305,                 1.2755,             0.00014311,             0.00014311,             0.00014311
